316004659,2023-01-01T00:04:41,49.28732,-123.08084,0,247.8,511,F W WRIGHT,,,31,0,,,,31,A
366991740,2023-01-01T00:04:47,29.32013,-94.78523,0,289,302,TEXAS,,WDC2352,50,9,21,6,,50,A
367373630,2023-01-01T00:04:49,40.70009,-74.15261,0,273.1,294,MEAGAN ANN,IMO8976281,WDE5943,31,0,24,8,,52,A
367331330,2023-01-01T00:04:56,37.83158,-76.28145,0,300.6,511,G P KIMBERLY,IMO7108576,WCY2043,30,0,50,11,3.3,30,A
366996420,2023-01-01T00:04:58,29.7574,-95.09523,0,247.1,511,EL PASO,,WDC2687,31,0,21,7,,52,A
563039400,2023-01-01T00:05:07,24.44818,-80.17489,12.9,57.1,62,THOR COURAGE,IMO9440978,9V5744,70,0,190,32,6.4,70,A
367662190,2023-01-01T00:05:09,46.19678,-123.80195,0,187,511,CASSANDRA ANNE,IMO8012293,WDH8856,30,,20,6,,,B
311000396,2023-01-01T00:04:46,26.10232,-79.66117,9.7,98.2,114,HARMONY OF THE SEAS,IMO9682875,C6BX8,60,0,362,,,60,A
367468590,2023-01-01T00:04:52,29.82108,-93.97476,0,242.5,511,MISS KORI,,WDF5911,31,15,18,7,,31,A
368010330,2023-01-01T00:04:56,33.77099,-118.21135,0,206.2,108,RICH PADDEN,,WDJ7811,52,0,,,,52,A
367702440,2023-01-01T00:05:46,30.00506,-90.78665,8.1,49.8,54,SAFETY GOAL,,WDI4828,31,0,21,8,,31,A
366806940,2023-01-01T00:05:48,37.90644,-122.40004,0.4,293.8,511,VALHALLA,,WDA4208,90,3,77,23,,0,A
367017460,2023-01-01T00:05:53,29.9864,-81.65764,0,227.5,511,ELSBETH III,IMO8983375,WCY8320,31,0,27,10,,52,A
367468590,2023-01-01T00:06:02,29.8211,-93.97476,0,244.2,511,MISS KORI,,WDF5911,31,15,18,7,,31,A
367492110,2023-01-01T00:04:48,29.29245,-88.66366,1.1,114.1,20,ODYSSEA TITAN,IMO9399064,WDF8168,90,0,68,14,4,70,A
367168250,2023-01-01T00:06:27,26.71491,-80.04793,0,230.8,180,CONSTELLATION,,WDD6097,37,0,33,6,,37,A
372473000,2023-01-01T00:02:05,29.55863,-93.71103,0,38,108,DUBAI KNIGHT,IMO9363625,3EJC8,70,1,189,32,12.5,70,A
367452650,2023-01-01T00:05:53,29.17877,-89.25856,0,279,243,PORTPILOT,,WDF4502,90,0,15,4,,50,A
338143158,2023-01-01T00:05:54,34.21451,-77.95501,0.1,96.5,511,DREDGE BRUNSWICK,,,33,3,82,,,33,A
